timestamp,src,sport,dst,dport,proto,pred
2025-11-13 22:52:42,18.97.36.72,443,192.168.1.35,58833,TCP,0
2025-11-13 22:52:42,192.168.1.35,49404,52.22.139.196,443,TCP,0
2025-11-13 22:52:42,192.168.1.35,54415,142.251.43.142,443,UDP,0
2025-11-13 22:52:42,142.251.43.142,443,192.168.1.35,54415,UDP,0
2025-11-13 22:52:42,52.22.139.196,443,192.168.1.35,49404,TCP,0
2025-11-13 22:52:43,192.168.1.35,53898,52.87.124.85,443,TCP,0
2025-11-13 22:52:44,192.168.1.35,50320,44.207.170.235,443,TCP,0
2025-11-13 22:52:44,44.207.170.235,443,192.168.1.35,50320,TCP,0
2025-11-13 22:52:44,52.87.124.85,443,192.168.1.35,53898,TCP,0
2025-11-13 22:52:45,192.168.1.35,55850,44.193.97.126,443,TCP,0
2025-11-13 22:52:45,44.193.97.126,443,192.168.1.35,55850,TCP,0
2025-11-13 22:52:45,192.168.1.35,60933,44.209.17.134,443,TCP,0
2025-11-13 22:52:45,192.168.1.35,55991,44.207.95.255,443,TCP,0
2025-11-13 22:52:45,192.168.1.35,52008,44.209.17.134,443,TCP,0
2025-11-13 22:52:45,192.168.1.35,63814,44.207.95.255,443,TCP,0
2025-11-13 22:52:45,192.168.1.35,64458,44.209.17.134,443,TCP,0
2025-11-13 22:52:45,192.168.1.35,63316,44.209.17.134,443,TCP,0
2025-11-13 22:52:46,192.168.1.35,53620,44.209.17.134,443,TCP,0
2025-11-13 22:52:46,44.207.95.255,443,192.168.1.35,55991,TCP,0
2025-11-13 22:52:46,44.209.17.134,443,192.168.1.35,60933,TCP,0
2025-11-13 22:52:46,44.207.95.255,443,192.168.1.35,63814,TCP,0
2025-11-13 22:52:46,44.209.17.134,443,192.168.1.35,52008,TCP,0
2025-11-13 22:52:46,44.209.17.134,443,192.168.1.35,63316,TCP,0
2025-11-13 22:52:46,44.209.17.134,443,192.168.1.35,64458,TCP,0
2025-11-13 22:52:46,44.209.17.134,443,192.168.1.35,53620,TCP,0
2025-11-13 22:52:46,192.168.1.35,53206,44.209.17.134,443,TCP,0
2025-11-13 22:52:46,44.209.17.134,443,192.168.1.35,53206,TCP,0
2025-11-13 22:52:46,192.168.1.35,52451,142.250.122.94,443,UDP,0
2025-11-13 22:52:46,142.250.122.94,443,192.168.1.35,52451,UDP,0
2025-11-13 22:52:46,192.168.1.2,57621,192.168.1.255,57621,UDP,0
2025-11-13 22:52:46,192.168.1.35,50505,100.26.84.113,443,TCP,0
2025-11-13 22:52:46,100.26.84.113,443,192.168.1.35,50505,TCP,0
2025-11-13 22:52:48,192.168.1.35,59094,162.247.243.29,443,TCP,0
2025-11-13 22:52:48,162.247.243.29,443,192.168.1.35,59094,TCP,0
2025-11-13 22:52:48,192.168.1.35,58117,162.247.243.29,443,TCP,0
2025-11-13 22:52:48,162.247.243.29,443,192.168.1.35,58117,TCP,0
2025-11-13 22:52:50,192.168.1.40,5353,224.0.0.251,5353,UDP,0
2025-11-13 22:52:52,13.107.246.58,443,192.168.1.35,64494,TCP,0
2025-11-13 22:52:52,192.168.1.35,64494,13.107.246.58,443,TCP,0
2025-11-13 22:52:53,192.168.1.35,53613,18.97.36.9,443,TCP,0
2025-11-13 22:52:54,18.97.36.9,443,192.168.1.35,53613,TCP,0
2025-11-13 22:52:55,192.168.1.35,58223,13.204.106.34,443,TCP,0
2025-11-13 22:52:55,192.168.1.35,63088,13.204.106.34,443,TCP,0
2025-11-13 22:52:55,192.168.1.35,54627,13.204.106.34,443,TCP,0
2025-11-13 22:52:55,13.204.106.34,443,192.168.1.35,58223,TCP,0
2025-11-13 22:52:55,13.204.106.34,443,192.168.1.35,63088,TCP,0
2025-11-13 22:52:55,13.204.106.34,443,192.168.1.35,54627,TCP,0
2025-11-13 22:52:55,192.168.1.35,49664,35.227.218.218,443,UDP,0
2025-11-13 22:52:55,35.227.218.218,443,192.168.1.35,49664,UDP,0
2025-11-13 22:52:55,192.168.1.35,61156,35.227.218.218,443,TCP,0
2025-11-13 22:52:55,192.168.1.35,54329,35.186.229.172,443,TCP,0
2025-11-13 22:52:55,35.227.218.218,443,192.168.1.35,61156,TCP,0
2025-11-13 22:52:55,35.186.229.172,443,192.168.1.35,54329,TCP,0
